iter	Passed	Remaining
687	10897	4941
688	10913	4925
689	10928	4909
690	10946	4894
691	10961	4878
692	10976	4862
693	10992	4846
694	11010	4832
695	11027	4816
696	11043	4800
697	11059	4785
698	11075	4769
699	11092	4753
700	11109	4738
701	11124	4722
702	11141	4707
703	11155	4690
704	11171	4674
705	11187	4658
706	11203	4643
707	11218	4626
708	11234	4611
709	11253	4596
710	11269	4580
711	11284	4564
712	11299	4548
713	11315	4532
714	11329	4515
715	11344	4499
716	11357	4482
717	11371	4466
718	11385	4449
719	11398	4432
720	11414	4416
721	11431	4401
722	11445	4385
723	11460	4368
724	11486	4357
725	11504	4342
726	11520	4326
727	11534	4309
728	11549	4293
729	11563	4276
730	11578	4260
731	11594	4245
732	11609	4228
733	11624	4212
734	11637	4195
735	11651	4179
736	11666	4163
737	11683	4147
738	11697	4131
739	11712	4115
740	11726	4098
741	11740	4082
742	11755	4066
743	11771	4050
744	11788	4034
745	11803	4018
746	11818	4002
747	11832	3986
748	11846	3969
749	11860	3953
750	11876	3937
751	11890	3921
752	11906	3905
753	11923	3890
754	11938	3874
755	11952	3857
756	11967	3841
757	11980	3824
758	11994	3808
759	12008	3792
760	12024	3776
761	12038	3759
762	12053	3744
763	12071	3728
764	12088	3713
765	12104	3697
766	12119	3681
767	12133	3665
768	12146	3648
769	12161	3632
770	12175	3616
771	12189	3600
772	12204	3583
773	12218	3567
774	12231	3551
775	12245	3534
776	12260	3518
777	12274	3502
778	12286	3485
779	12300	3469
780	12315	3453
781	12331	3437
782	12346	3421
783	12361	3405
784	12375	3389
785	12388	3372
786	12404	3357
787	12417	3340
788	12432	3324
789	12447	3308
790	12462	3292
791	12480	3277
792	12497	3262
793	12513	3246
794	12527	3230
795	12543	3214
796	12558	3198
797	12573	3182
798	12585	3166
799	12599	3149
800	12614	3134
801	12629	3118
802	12644	3102
803	12658	3085
804	12673	3070
805	12687	3053
806	12700	3037
807	12714	3021
808	12727	3004
809	12742	2989
810	12757	2973
811	12772	2957
812	12787	2941
813	12802	2925
814	12815	2909
815	12829	2893
816	12844	2877
817	12858	2860
818	12873	2845
819	12890	2829
820	12906	2813
821	12920	2797
822	12934	2781
823	12948	2765
824	12961	2749
825	12974	2733
826	12989	2717
827	13006	2701
828	13020	2685
829	13033	2669
830	13047	2653
831	13059	2637
832	13073	2621
833	13089	2605
834	13105	2589
835	13119	2573
836	13134	2557
837	13151	2542
838	13167	2526
839	13181	2510
840	13195	2494
841	13209	2478
842	13221	2462
843	13250	2449
844	13264	2433
845	13280	2417
846	13298	2402
847	13312	2386
848	13327	2370
849	13340	2354
850	13353	2337
851	13367	2322
852	13382	2306
853	13395	2290
854	13409	2274
855	13424	2258
856	13439	2242
857	13452	2226
858	13466	2210
859	13480	2194
860	13495	2178
861	13509	2162
862	13522	2146
863	13538	2131
864	13551	2114
865	13565	2099
866	13578	2082
867	13593	2067
868	13607	2051
869	13623	2035
870	13637	2019
871	13650	2003
872	13664	1987
873	13677	1971
874	13695	1956
875	13711	1940
876	13726	1925
877	13740	1909
878	13755	1893
879	13770	1877
880	13786	1862
881	13800	1846
882	13814	1830
883	13828	1814
884	13842	1798
885	13856	1782
886	13872	1767
887	13890	1751
888	13905	1736
889	13923	1720
890	13940	1705
891	13956	1689
892	13972	1674
893	13990	1658
894	14004	1642
895	14018	1627
896	14032	1611
897	14049	1595
898	14064	1580
899	14079	1564
900	14093	1548
901	14109	1532
902	14124	1517
903	14138	1501
904	14154	1485
905	14170	1470
906	14184	1454
907	14198	1438
908	14213	1422
909	14228	1407
910	14243	1391
911	14256	1375
912	14269	1359
913	14284	1344
914	14294	1327
915	14308	1312
916	14322	1296
917	14335	1280
918	14349	1264
919	14367	1249
920	14380	1233
921	14394	1217
922	14408	1202
923	14422	1186
924	14436	1170
925	14450	1154
926	14465	1139
927	14478	1123
928	14495	1107
929	14512	1092
930	14527	1076
931	14541	1060
932	14556	1045
933	14571	1029
934	14584	1013
935	14599	998
936	14613	982
937	14627	966
938	14640	951
939	14656	935
940	14671	919
941	14689	904
942	14704	888
943	14719	873
944	14735	857
945	14753	842
946	14770	826
947	14787	811
948	14803	795
949	14818	779
950	14833	764
951	14848	748
952	14861	732
953	14873	717
954	14887	701
955	14903	685
956	14920	670
957	14937	654
958	14956	639
959	14972	623
960	14987	608
961	15001	592
962	15014	576
963	15028	561
964	15038	545
965	15052	529
966	15067	514
967	15081	498
968	15095	482
969	15109	467
970	15123	451
971	15136	436
972	15150	420
973	15168	404
974	15183	389
975	15198	373
976	15214	358
977	15227	342
978	15244	327
979	15258	311
980	15272	295
981	15287	280
982	15311	264
983	15330	249
984	15346	233
985	15360	218
986	15377	202
987	15395	186
988	15410	171
989	15425	155
990	15440	140
991	15454	124
992	15469	109
993	15482	93
994	15496	77
995	15510	62
996	15526	46
997	15542	31
998	15557	15
999	15573	0
